ID_Ingreso,Especie,Raza,Edad_Meses,Peso_Kg,Tamano,Estado_Salud,Nivel_Sociabilidad,Esterilizado,Publicaciones,Interacciones_RRSS,Visitas_Recibidas,Costos_Mantenimiento,Dias_Estadia,Nombre,Adoptado,Fecha_Ingreso
PAE-00001,Perro,Mestizo,10,13.0,Mediano,Bueno,Medio,No,3,224,8,56.18,40,Jasper,False,2026-05-12
PAE-00002,Gato,Mestizo,43,10.8,Mediano,Bueno,Medio,Si,4,188,0,50.21,58,Charlie,True,2026-04-28
PAE-00003,Perro,Labrador,37,9.6,Grande,Bueno,Medio,No,2,206,3,48.24,58,Milo,False,2026-04-19
PAE-00004,Perro,Pastor Alemán,26,19.0,Pequeño,Bueno,Alto,No,5,207,11,84.57,19,Bailey,True,2026-05-24
PAE-00005,Perro,Mestizo,13,1.0,Grande,Bueno,Alto,No,5,317,3,20.18,33,Buster,True,2026-05-22
PAE-00006,Perro,Mestizo,32,9.7,Pequeño,Regular,Alto,No,2,59,9,48.87,64,Coco,False,2026-04-05
PAE-00007,Perro,Mestizo,4,1.0,Mediano,Excelente,Medio,No,6,246,7,15.0,36,Scout,False,2026-05-07
PAE-00008,Gato,Mestizo,30,13.4,Grande,Bueno,Medio,Si,2,353,1,60.56,64,Scout,False,2026-04-24
PAE-00009,Perro,Mestizo,29,16.6,Pequeño,Regular,Medio,No,3,343,6,79.72,76,Apollo,True,2026-03-19
PAE-00010,Perro,Mestizo,16,3.9,Mediano,Regular,Alto,Si,3,256,7,39.27,27,Simba,True,2026-06-03
PAE-00011,Perro,Pastor Alemán,31,4.7,Pequeño,Regular,Alto,No,6,124,2,36.83,36,Oreo,True,2026-05-07
PAE-00012,Gato,Mestizo,12,1.8,Mediano,Regular,Alto,Si,6,277,12,16.56,19,Rocky,False,2026-05-30
PAE-00013,Gato,Mestizo,2,12.4,Mediano,En Tratamiento,Bajo,Si,2,332,9,110.5,136,Dexter,True,2026-01-27
PAE-00014,Perro,Mestizo,29,10.0,Mediano,Bueno,Medio,No,1,148,2,48.19,63,Daisy,False,2026-04-06
PAE-00015,Perro,Mestizo,16,10.3,Pequeño,Bueno,Bajo,No,4,235,8,51.16,73,Lucy,True,2026-03-30
PAE-00016,Perro,Mestizo,25,9.8,Pequeño,Excelente,Bajo,No,3,179,7,42.96,83,Sasha,True,2026-03-21
PAE-00017,Perro,Bulldog,39,6.2,Pequeño,Excelente,Medio,No,2,138,0,37.12,59,Casper,True,2026-04-08
PAE-00018,Perro,Mestizo,9,18.8,Pequeño,Bueno,Medio,No,4,168,14,76.84,25,Rex,True,2026-05-16
